Rank,Name,Worldwide Box Office,Movies,Average
1,Robert Downey. Jr.,$14.394.130.148,43,$334.747.213
2,Samuel L. Jackson,$14.336.033.801,63,$227.556.092
3,Scarlett Johansson,$14.113.127.566,31,$455.262.180
4,Chris Hemsworth,$11.196.972.897,25,$447.878.916
5,Chris Evans,$11.057.993.458,27,$409.555.313
6,Zoe Saldana,$10.973.139.576,28,$391.897.842
7,Chris Pratt,$10.738.359.948,19,$565.176.839
8,Tom Hanks,$10.691.083.366,53,$201.718.554
9,Vin Diesel,$10.536.114.008,26,$405.235.154
10,Bradley Cooper,$10.397.723.313,27,$385.100.863
11,Johnny Depp,$10.326.620.854,51,$202.482.762
12,Tom Cruise,$10.059.691.776,43,$233.946.320
13,Mark Ruffalo,$9.834.109.236,22,$447.004.965
14,Dwayne Johnson,$9.581.524.004,35,$273.757.829
15,Emma Watson,$9.263.236.562,15,$617.549.104
16,Don Cheadle,$9.073.166.670,22,$412.416.667
17,Jeremy Renner,$8.859.596.222,18,$492.199.790
18,Will Smith,$8.578.546.430,34,$252.310.189
19,Daniel Radcliffe,$8.206.605.593,22,$373.027.527
20,Harrison Ford,$7.782.795.114,42,$185.304.646
21,Tom Holland,$7.702.581.461,15,$513.505.431
22,Rupert Grint,$7.698.240.468,13,$592.172.344
23,Karen Gillan,$7.681.518.138,13,$590.886.011
24,Chadwick Boseman,$7.653.181.530,11,$695.743.775
25,Josh Brolin,$7.515.765.125,23,$326.772.397
26,Elizabeth Olsen,$7.476.898.853,14,$534.064.204
27,Benedict Cumberbatch,$7.365.875.747,16,$460.367.234
28,Sebastian Stan,$7.121.004.921,10,$712.100.492
29,Leonardo DiCaprio,$7.101.006.061,26,$273.115.618
30,Dave Bautista,$7.066.237.636,20,$353.311.882
31,Matt Damon,$7.019.711.503,42,$167.135.988
32,Tom Hiddleston,$6.949.648.068,13,$534.588.313
33,Paul Bettany,$6.881.752.878,14,$491.553.777
34,Bruce Willis,$6.756.397.405,73,$92.553.389
35,Eddie Murphy,$6.750.250.176,42,$160.720.242
36,Brad Pitt,$6.620.766.208,43,$153.971.307
37,Liam Neeson,$6.613.939.557,53,$124.791.312
38,Ben Stiller,$6.377.724.340,34,$187.580.128
39,Hugh Jackman,$6.373.670.234,33,$193.141.522
40,Ian McKellen,$6.269.080.653,18,$348.282.259
41,Steve Carell,$6.181.110.962,27,$228.930.036
42,Letitia Wright,$6.178.836.526,9,$686.537.392
43,Danai Gurira,$6.178.835.408,4,$1.544.708.852
44,Gwyneth Paltrow,$6.169.154.649,20,$308.457.732
45,Jennifer Lawrence,$5.997.791.746,22,$272.626.898
46,Nicolas Cage,$5.962.179.978,84,$70.978.333
47,Cameron Diaz,$5.827.589.772,28,$208.128.206
48,Ewan McGregor,$5.801.288.465,34,$170.626.131
49,Pom Klementieff,$5.714.725.656,4,$1.428.681.414
50,Mark Wahlberg,$5.583.586.446,42,$132.942.534
51,Benedict Wong,$5.551.623.341,5,$1.110.324.668
52,Josh Gad,$5.442.392.731,16,$340.149.546
53,Julia Roberts,$5.269.515.038,36,$146.375.418
54,Adam Sandler,$5.235.749.028,40,$130.893.726
55,Jim Carrey,$5.216.380.435,30,$173.879.348
56,Sandra Bullock,$5.211.393.717,34,$153.276.286
57,Idris Elba,$5.126.955.054,28,$183.105.538
58,Ryan Reynolds,$5.078.627.248,39,$130.221.211
59,Jack Black,$5.006.246.223,26,$192.547.932
60,Ben Affleck,$4.993.030.052,44,$113.477.956
61,Robert De Niro,$4.965.430.875,74,$67.100.417
62,Jason Statham,$4.961.358.568,37,$134.090.772
63,Sylvester Stallone,$4.948.154.815,51,$97.022.643
64,Ralph Fiennes,$4.916.135.525,25,$196.645.421
65,Daisy Ridley,$4.848.682.799,7,$692.668.971
66,Natalie Portman,$4.815.472.689,31,$155.337.829
67,Owen Wilson,$4.807.878.875,36,$133.552.191
68,John Boyega,$4.792.525.389,13,$368.655.799
69,Morgan Freeman,$4.791.704.649,44,$108.902.378
70,Christian Bale,$4.779.496.998,34,$140.573.441
71,Robin Williams,$4.760.846.863,37,$128.671.537
72,Adam Driver,$4.727.678.786,18,$262.648.821
73,Orlando Bloom,$4.721.704.346,20,$236.085.217
74,Paul Rudd,$4.716.788.180,28,$168.456.721
75,Mel Gibson,$4.714.308.269,48,$98.214.756
76,Daniel Craig,$4.617.956.584,17,$271.644.505
77,Brie Larson,$4.591.846.532,11,$417.440.594
78,George Clooney,$4.539.205.657,34,$133.506.049
79,Simon Pegg,$4.503.980.715,25,$180.159.229
80,Arnold Schwarzenegger,$4.475.431.178,34,$131.630.329
81,Kevin Hart,$4.468.845.087,31,$144.156.293
82,Shia LaBeouf,$4.461.899.544,26,$171.611.521
83,Martin Freeman,$4.429.050.678,11,$402.640.971
84,Meryl Streep,$4.411.093.661,48,$91.897.785
85,Anthony Mackie,$4.391.909.697,20,$219.595.485
86,Keanu Reeves,$4.383.738.846,47,$93.271.039
87,Jon Favreau,$4.340.452.504,6,$723.408.751
88,Mark Hamill,$4.274.618.823,13,$328.816.833
89,Denzel Washington,$4.234.898.823,47,$90.104.230
90,Keegan-Michael Key,$4.216.076.836,13,$324.313.603
91,Anthony Hopkins,$4.207.244.868,37,$113.709.321
92,Tim Allen,$4.190.330.086,20,$209.516.504
93,Keira Knightley,$4.176.913.765,26,$160.650.529
94,Geoffrey Rush,$4.131.571.549,16,$258.223.222
95,Mike Myers,$4.101.057.588,14,$292.932.685
96,Sam Worthington,$4.094.831.360,23,$178.036.146
97,Paul Walker,$4.080.572.291,16,$255.035.768
98,Kristen Stewart,$4.030.962.456,28,$143.962.945
99,Michelle Rodriguez,$4.030.838.019,16,$251.927.376
100,John Travolta,$3.998.739.910,51,$78.406.665
101,Jude Law,$3.980.080.473,33,$120.608.499
102,Evangeline Lilly,$3.940.885.405,7,$562.983.629
103,Nicole Kidman,$3.932.218.351,52,$75.619.584
104,Robert Pattinson,$3.895.537.214,22,$177.069.873
105,Channing Tatum,$3.872.553.592,28,$138.305.485
106,Anne Hathaway,$3.858.519.647,29,$133.052.402
107,Seth Rogen,$3.706.874.324,23,$161.168.449
108,Taylor Lautner,$3.691.610.056,10,$369.161.006
109,Viggo Mortensen,$3.682.725.824,23,$160.118.514
110,Angelina Jolie,$3.634.432.853,23,$158.018.820
111,Lupita Nyong'o,$3.629.218.248,8,$453.652.281
112,Michael Douglas,$3.616.668.277,35,$103.333.379
113,Cate Blanchett,$3.608.705.602,26,$138.796.369
114,John Leguizamo,$3.572.344.410,22,$162.379.291
115,Michelle Pfeiffer,$3.571.707.079,35,$102.048.774
116,Andy Serkis,$3.531.057.495,9,$392.339.722
117,Tommy Lee Jones,$3.515.217.565,27,$130.193.243
118,Colin Firth,$3.490.892.690,34,$102.673.314
119,Kristen Bell,$3.488.620.328,19,$183.611.596
120,Kate Winslet,$3.485.606.627,29,$120.193.332
121,James McAvoy,$3.452.514.312,21,$164.405.443
122,Ben Kingsley,$3.439.826.819,21,$163.801.277
123,Charlize Theron,$3.397.284.574,30,$113.242.819
124,Russell Crowe,$3.356.039.900,38,$88.316.839
125,Henry Cavill,$3.329.887.636,10,$332.988.764
126,Woody Harrelson,$3.308.596.695,40,$82.714.917
127,Denis Leary,$3.292.639.913,9,$365.848.879
128,Kevin Costner,$3.286.370.061,40,$82.159.252
129,Pierce Brosnan,$3.280.741.535,29,$113.129.018
130,Ray Romano,$3.278.194.617,9,$364.243.846
131,Chris Pine,$3.273.988.872,18,$181.888.271
132,Will Ferrell,$3.219.766.402,35,$91.993.326
133,Jamie Foxx,$3.212.934.640,28,$114.747.666
134,Colin Farrell,$3.209.376.105,31,$103.528.261
135,Tobey Maguire,$3.201.849.585,11,$291.077.235
136,John Goodman,$3.162.170.158,22,$143.735.007
137,Gerard Butler,$3.144.758.294,30,$104.825.276
138,Carrie Fisher,$3.131.689.263,7,$447.384.180
139,Chris Rock,$3.101.157.795,20,$155.057.890
140,Oscar Isaac,$3.089.822.868,23,$134.340.125
141,Kevin James,$3.051.623.786,16,$190.726.487
142,Bill Murray,$3.036.500.728,35,$86.757.164
143,Alan Tudyk,$2.991.312.675,9,$332.368.075
144,Kristen Wiig,$2.974.266.841,18,$165.237.047
145,Matthew McConaughey,$2.945.808.944,29,$101.579.619
146,Ben Mendelsohn,$2.942.115.578,11,$267.465.053
147,Jackie Chan,$2.941.335.005,36,$81.703.750
148,Michael Fassbender,$2.934.839.291,25,$117.393.572
149,Zendaya,$2.900.924.290,7,$414.417.756
150,Dustin Hoffman,$2.895.370.565,32,$90.480.330
151,Emma Thompson,$2.871.001.810,19,$151.105.358
152,Sacha Baron Cohen,$2.851.019.519,10,$285.101.952
153,Amy Adams,$2.822.120.837,20,$141.106.042
