Rank,Name,Worldwide Box Office,Movies,Average
1,Steven Spielberg,$10.548.605.203,36,$293.016.811
2,Anthony Russo,$6.839.063.507,7,$977.009.072
3,Joe Russo,$6.839.063.507,8,$854.882.938
4,Peter Jackson,$6.535.061.813,14,$466.790.130
5,Michael Bay,$6.443.668.115,16,$402.729.257
6,James Cameron,$6.291.648.202,14,$449.403.443
7,David Yates,$5.973.088.427,8,$746.636.053
8,Christopher Nolan,$4.959.648.868,13,$381.511.451
9,J.J. Abrams,$4.649.045.992,6,$774.840.999
10,Tim Burton,$4.413.226.120,19,$232.275.059
11,Robert Zemeckis,$4.356.937.585,22,$198.042.618
12,Jon Favreau,$4.323.478.744,9,$480.386.527
13,Ron Howard,$4.300.742.744,33,$130.325.538
14,Ridley Scott,$4.208.565.318,31,$135.760.172
15,Chris Columbus,$4.080.458.074,16,$255.028.630
16,Roland Emmerich,$3.956.696.574,15,$263.779.772
17,Bryan Singer,$3.717.510.700,10,$371.751.070
18,Pierre Coffin,$3.710.909.442,4,$927.727.361
19,James Wan,$3.703.340.300,10,$370.334.030
20,Gore Verbinski,$3.682.489.019,11,$334.771.729
21,George Lucas,$3.448.142.176,6,$574.690.363
22,Brad Bird,$3.433.470.811,6,$572.245.135
23,Francis Lawrence,$3.350.317.781,9,$372.257.531
24,Clint Eastwood,$3.329.023.336,39,$85.359.573
25,Sam Raimi,$3.308.339.051,15,$220.555.937
26,Chris Renaud,$3.201.236.599,5,$640.247.320
27,Todd Phillips,$3.179.217.391,10,$317.921.739
28,Zack Snyder,$3.170.405.984,12,$264.200.499
29,M. Night Shyamalan,$3.108.448.176,13,$239.111.398
30,Sam Mendes,$3.088.436.155,9,$343.159.573
31,Carlos Saldanha,$3.069.459.365,7,$438.494.195
32,Bill Condon,$3.036.750.170,12,$253.062.514
33,Justin Lin,$3.014.447.202,11,$274.040.655
34,Joss Whedon,$2.955.065.480,4,$738.766.370
35,Tom McGrath,$2.881.029.035,7,$411.575.576
36,Andrew Stanton,$2.776.387.102,4,$694.096.776
37,Shawn Levy,$2.713.503.122,13,$208.731.009
38,Jennifer Lee,$2.710.949.453,2,$1.355.474.727
39,Chris Buck,$2.710.949.453,2,$1.355.474.727
40,Guy Ritchie,$2.675.588.304,15,$178.372.554
41,Andrew Adamson,$2.593.884.929,6,$432.314.155
42,Conrad Vernon,$2.478.625.678,7,$354.089.383
43,John Lasseter,$2.466.673.153,6,$411.112.192
44,Eric Darnell,$2.422.562.005,5,$484.512.401
45,Barry Sonnenfeld,$2.422.304.041,12,$201.858.670
46,Steven Soderbergh,$2.292.578.496,34,$67.428.779
47,Jon Turteltaub,$2.268.844.314,11,$206.258.574
48,Pete Docter,$2.264.296.589,4,$566.074.147
49,F. Gary Gray,$2.251.163.261,13,$173.166.405
50,Kyle Balda,$2.192.228.034,3,$730.742.678
51,Jake Kasdan,$2.165.644.915,7,$309.377.845
52,Brett Ratner,$2.153.851.289,12,$179.487.607
53,Martin Scorsese,$2.153.734.709,30,$71.791.157
54,Rob Marshall,$2.132.601.593,7,$304.657.370
55,Tony Scott,$2.109.172.802,16,$131.823.300
56,David Fincher,$2.108.393.607,11,$191.672.146
57,Andy Wachowski,$2.044.315.841,7,$292.045.120
58,Martin Campbell,$2.039.559.458,14,$145.682.818
59,James Mangold,$2.038.633.162,12,$169.886.097
60,Rich Moore,$2.030.432.286,3,$676.810.762
61,Jon Watts,$2.013.805.035,6,$335.634.173
62,Rob Minkoff,$2.006.834.711,8,$250.854.339
63,Quentin Tarantino,$1.972.042.034,11,$179.276.549
64,Richard Donner,$1.958.597.102,18,$108.810.950
65,Byron Howard,$1.917.544.783,4,$479.386.196
66,Raja Gosnell,$1.895.767.721,11,$172.342.520
67,Lee Unkrich,$1.866.545.947,2,$933.272.974
68,Chen Sicheng,$1.862.751.080,5,$372.550.216
69,James Gunn,$1.852.069.175,7,$264.581.311
70,Wolfgang Petersen,$1.825.552.544,11,$165.959.322
71,Rian Johnson,$1.819.297.720,6,$303.216.287
72,Ivan Reitman,$1.817.836.893,15,$121.189.126
73,Dennis Dugan,$1.799.989.565,15,$119.999.304
74,Jay Roach,$1.798.699.200,13,$138.361.477
