,budget,popularity,runtime,spoken_languages,revenue,collectionYN,EnYN,DirectorRev
0,14000000,6.575392999999999,93.0,1,12314651,1,1,27925843.0
1,40000000,8.248895,113.0,1,95149435,1,1,97371973.0
2,3300000,64.29999000000001,105.0,1,13092000,0,1,118093801.0
3,1200000,3.174936,122.0,2,16000000,0,0,0.0
4,0,1.1480700000000001,118.0,1,3923970,0,0,0.0
5,8000000,0.743274,83.0,1,3261638,0,1,0.0
6,14000000,7.2864770000000005,92.0,1,85446075,0,1,0.0
7,0,1.9490439999999998,84.0,2,2586511,0,1,0.0
8,0,6.902423,100.0,1,34327391,1,1,0.0
9,6000000,4.672036,91.0,1,18750246,0,1,0.0
10,1000000,14.774066,119.0,1,117235147,1,1,49426575.0
11,0,10.54375,98.0,1,22642033,1,1,59000604.0
12,15000000,20.726578,122.0,1,356296601,0,1,343159573.0
13,53000000,13.314232999999998,118.0,2,95226116,1,1,173166405.0
14,102000000,20.666063,145.0,2,358372926,0,1,293016811.0
15,26000000,6.336926999999999,85.0,2,57891803,0,1,44872271.0
16,0,4.1835580000000006,111.0,1,1234254,0,1,0.0
17,8000000,6.496258999999999,96.0,2,1749457,0,1,0.0
18,32000000,11.359658999999999,87.0,3,85167639,1,1,164027929.0
19,80000000,12.000579,130.0,1,136159423,0,1,39686330.0
20,4000000,7.99229,95.0,1,36690067,1,1,26207026.0
21,0,7.820786999999999,116.0,1,100345,1,1,0.0
22,0,1.323333,92.0,1,17011,0,1,0.0
23,0,7.434577,87.0,3,4947717,0,1,0.0
24,0,1.252367,95.0,1,8403433,0,1,0.0
25,10000000,4.305734999999999,110.0,1,13835130,0,1,0.0
26,11000000,10.841891,93.0,1,7847000,0,1,0.0
27,6000000,6.759181,84.0,2,5849647,0,1,0.0
28,45000000,7.81862,89.0,1,94935764,0,1,56503769.0
29,13000000,16.086919,112.0,2,426480871,0,0,171689327.0
30,0,5.69586,117.0,1,36000000,0,0,0.0
31,90000000,13.412445000000002,106.0,1,146936910,0,1,102969945.0
32,140000000,9.718111,91.0,5,258022233,1,1,179487607.0
33,30000000,8.234382,94.0,3,40346186,0,1,33529267.0
34,0,2.100499,105.0,1,151559,0,1,0.0
35,50000000,13.676444,127.0,3,189859560,0,1,165959322.0
36,0,0.32926,90.0,3,92100,0,1,0.0
37,3800000,3.055936,123.0,3,14873,0,1,8222518.0
38,0,2.941626,118.0,1,163000,1,1,0.0
39,3000000,9.718713000000001,126.0,1,16217773,0,1,17709038.0
40,25000000,2.9719990000000003,108.0,2,24362772,0,1,13345130.0
41,6000000,9.383088,92.0,1,1020921,0,1,20050298.0
42,15000000,5.615303,88.0,1,47175038,0,1,0.0
43,3906840,2.382068,95.0,2,4300000,0,0,0.0
44,80000000,16.646029000000002,91.0,1,660940780,1,1,438494195.0
45,44000000,20.328822,167.0,2,155760117,0,1,179276549.0
46,0,8.984386,94.0,1,653951,0,1,0.0
47,38000000,8.105708,118.0,1,120000000,1,1,60000000.0
48,560000,1.572904,102.0,1,1500000,0,0,0.0
49,12000000,4.473326999999999,160.0,2,25333333,0,1,16149636.0
50,0,1.012665,97.0,1,11000000,0,1,0.0
51,0,5.410839,98.0,1,17514553,0,1,49426575.0
52,20000000,8.759801,107.0,1,46069568,0,1,99996749.0
53,0,9.122717999999999,95.0,1,36448200,0,1,19059374.0
54,0,2.94798,97.0,2,1056938,0,0,0.0
55,125000000,17.038823999999998,125.0,1,238207122,1,1,72447422.0
56,0,1.8824459999999998,95.0,1,119563,0,1,0.0
57,14000000,3.909079,95.0,2,25482931,0,1,0.0
58,150000000,23.065078,144.0,2,599045960,1,1,145682818.0
59,4000000,1.8010709999999999,105.0,2,14400000,0,1,0.0
60,0,6.3816120000000005,124.0,1,25232289,0,1,53402834.0
61,5000000,7.743144,100.0,1,14000000,1,1,0.0
62,12000000,11.160699000000001,115.0,2,17654912,0,1,44929802.0
63,1500000,8.822275999999999,92.0,1,11806119,1,1,0.0
64,12000000,5.145185,108.0,1,204940,0,1,0.0
65,0,6.303552,133.0,2,154120,0,0,0.0
66,2000000,14.284787,129.0,1,13129846,0,1,0.0
67,85000000,2.238808,104.0,2,158468292,1,1,274040655.0
68,29000000,12.092096000000002,103.0,1,21126225,0,1,0.0
69,0,7.667491,126.0,2,16756372,0,0,19428519.0
70,11000000,8.290384,85.0,1,8266343,0,1,0.0
71,0,0.9195559999999999,90.0,1,17393,0,0,0.0
